Species,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24
Mediterraneibacter gnavus,0,17,0,0,2782,9,8,0,0,0,0,0,0,0,0,29,0,393,14,0,0,0,0,0
Merdimmobilis hominis,0,3,0,0,490,7,46,0,0,0,0,0,0,0,13,61,0,0,127,0,0,0,0,0
Merdimonas faecis,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,47,0,0,0,0,0
Microbulbifer echini,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mixta calida,0,1,24,0,0,0,0,0,2,0,13,0,0,0,0,1,0,0,2,0,0,0,0,0
Mixta gaviniae,0,6,38,0,0,6,0,0,0,0,55,0,1,0,0,8,0,0,5,0,0,0,0,0
Mixta intestinalis,0,8,367,0,0,3,1,0,16,0,230,0,27,0,0,18,0,0,24,3,0,0,0,0
Mixta theicola,0,18,15,0,0,9,1,0,2,0,141,0,0,0,1,8,0,0,13,1,1,0,0,0
Mogibacterium neglectum,0,3,0,0,6,47,10,0,0,0,0,0,0,0,4,6,0,15,49,87,0,0,0,0
Mogibacterium pumilum,0,4,0,0,0,7,7,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0
Mogibacterium timidum,0,5,0,0,2,3101,214,0,0,0,0,0,0,0,2,8,0,2173,0,52,0,0,0,1
Monoglobus pectinilyticus,0,8,0,0,1052,6,2,0,0,0,0,0,0,0,0,12,0,18,2,0,0,0,0,0
Mordavella massiliensis,0,9,0,0,80,3,3,0,0,0,0,0,0,0,5,1,0,0,5,0,0,0,0,0
Motilimonas pumila,0,1,12,0,0,0,0,0,7,0,7,0,12,0,1,0,0,0,0,0,0,0,0,0
Natranaerovirga pectinivora,0,9,0,0,103,2,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
Natronincola ferrireducens,0,8,0,0,0,1,1,0,0,0,0,0,0,0,1,4,1,1,0,0,0,0,0,0
Natronincola histidinovorans,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Neglectibacter timonensis,0,3,0,0,1445,2,7,0,0,0,0,0,0,0,0,51,0,1,1,0,0,0,0,0
Neisseria bacilliformis,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neisseria chenwenguii,0,1,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neisseria cinerea,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Neisseria elongata,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neisseria macacae,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neisseria mucosa,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Neisseria oralis,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neisseria perflava,0,2,0,0,1,0,1,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0
Neisseria sicca,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neisseria weaveri,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nissabacter archeti,0,1,18,0,0,0,0,0,7,0,5,0,25,0,1,0,0,0,9,0,0,0,0,0
Nitratidesulfovibrio oxamicus,0,105,0,0,5,211,296,0,0,0,0,0,0,0,2,51,0,2,1,0,0,0,0,0
Nitratidesulfovibrio vulgaris,0,69,0,0,15,195,280,0,0,0,0,0,0,0,4,37,0,9,1,0,0,0,0,0
Oceanisphaera arctica,0,1,3,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceanisphaera donghaensis,0,1,4,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
Oceanobacillus polygoni,0,1,0,0,0,0,0,9,0,0,0,0,0,2,0,0,1,0,0,0,1,38,32,35
Odoribacter splanchnicus,0,50,0,0,18,176,322,0,0,0,0,0,0,0,1,31,0,1,34,0,0,0,0,0
Oleidesulfovibrio alaskensis,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Oleidesulfovibrio vietnamensis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oribacterium asaccharolyticum,0,1,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ornithinibacillus salinisoli,0,1,0,0,0,0,0,99,0,0,0,4,0,31,0,0,2,0,1,0,1,56,43,75
Oscillibacter ruminantium,0,265,0,0,53,167,36,0,0,0,0,0,0,0,0,37,0,0,1,0,0,0,0,0
Oscillibacter valericigenes,0,25712,0,0,5169,9227,7102,0,0,0,0,0,0,0,15,1560,0,19,169,0,0,0,0,0
Ottowia beijingensis,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0
Oxalophagus oxalicus,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,4,0,0,0,0,0,0,0
Oxobacter pfennigii,0,12,0,0,1672,0,24,0,0,0,0,0,0,0,2,52,0,2,1,0,0,0,0,0
Paenacidovorax caeni,0,1,0,0,0,29,0,1,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0
Paenibacillus maysiensis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paenibacillus medicaginis,0,1,0,0,190,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paenibacillus motobuensis,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Paenibacillus peoriae,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paenibacillus polymyxa,0,10,0,0,24,0,0,0,0,0,0,0,0,0,4,1,14,0,0,0,0,0,0,1
Paenibacillus populi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paenibacillus psychroresistens,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Paenibacillus rhizoryzae,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paenibacillus sabinae,0,1,0,0,30,0,6,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0
Paenibacillus sonchi,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paenibacillus turicensis,0,2,0,0,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Paenibacillus xinjiangensis,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paludihabitans psychrotolerans,0,1,0,0,120,8,1,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0,0
Pantoea agglomerans,0,4,230,0,0,6,5,0,40,0,138,0,53,0,1,9,0,0,27,1,0,0,0,0
Pantoea allii,0,1,10,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,3,0,0,0,0,0
Pantoea cypripedii,0,3,108,0,0,3,1,0,30,0,72,0,63,0,2,4,0,0,14,1,0,0,0,0
Pantoea dispersa,0,10,98,0,0,3,1,0,79,0,35,0,111,0,1,5,0,0,5,3,2,0,0,0
Pantoea stewartii,0,3,114,0,0,1,0,0,17,0,80,0,23,0,1,3,0,0,6,1,0,0,0,0
Papillibacter cinnamivorans,0,44,0,0,410,12,27,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0
Parabacteroides chartae,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parabacteroides distasonis,0,142,0,0,285,396,10,0,0,0,0,0,0,0,1,16,0,75,843,0,0,0,0,0
Parabacteroides goldsteinii,0,1,0,0,11,26,8,0,0,0,0,0,0,0,0,3,0,1,76,0,0,0,0,0
Parabacteroides gordonii,0,1,0,0,8,3,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0
Paraclostridium benzoelyticum,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,70,2324,0,0,0,0
Paraclostridium bifermentans,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,34,1251,0,0,0,0
Paraclostridium sordellii,0,2,0,0,2,3,0,0,0,0,0,0,0,0,4,4,12,1,14,15,0,0,0,0
Paraclostridium tenue,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,60,1,0,0,0,0
Paraglaciecola polaris,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraphotobacterium marinum,0,1,11,0,0,0,0,0,2,0,14,0,4,0,0,0,0,0,5,0,0,0,0,0
Parasporobacterium paucivorans,0,2,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Parvimonas micra,0,76440,0,21,8,64329,10291,0,0,0,0,0,0,0,280892,61599,81330,61138,29,1918,0,0,9,2
Pasteurella skyensis,0,1,8,0,0,0,2,0,2,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0
Pectobacterium aroidearum,0,9,230,0,0,4,0,0,340,0,148,0,511,0,7,4,0,0,18,7,0,0,0,0
Pectobacterium betavasculorum,0,1,35,0,0,0,0,0,13,0,44,0,18,0,0,2,0,0,1,1,0,0,0,0
Pectobacterium brasiliense,0,9,103,0,0,4,1,0,32,0,50,0,55,0,1,5,0,0,4,1,0,0,0,0
Pectobacterium cacticida,0,5,13,0,0,1,0,0,9,0,7,0,20,0,0,3,0,0,0,0,0,0,0,0
Pectobacterium odoriferum,0,1,3,0,0,0,0,0,8,0,2,0,21,0,4,0,0,0,2,1,0,0,0,0
Pelotomaculum propionicicum,0,1,0,0,3,0,1,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0
Peptacetobacter hiranonis,0,67,0,0,1,48,8,0,0,0,0,0,0,0,7,84,10,89,35,39,0,0,0,0
Peptoclostridium litorale,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,14,2,0,0,0,0
Peptoniphilus ivorii,0,2,0,142,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
Peptoniphilus koenoeneniae,0,1,0,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Peptoniphilus methioninivorax,0,3,0,106,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Peptoniphilus stercorisuis,0,4,0,81,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
Peptostreptococcus anaerobius,0,1515,0,0,1,609,101,0,0,0,0,0,0,0,39,296,103,172,16,94,0,0,0,0
Peptostreptococcus canis,0,71,0,0,0,42,8,0,0,0,0,0,0,0,11,27,21,20,0,17,0,0,0,0
Peptostreptococcus russellii,0,115,0,0,0,50,15,0,0,0,0,0,0,0,4,78,9,82,51,36,0,0,0,0
Peptostreptococcus stomatis,0,61001,0,0,0,32253,11218,0,0,0,0,0,0,0,4099,53827,8392,57382,2,30609,0,0,1,5
Phascolarctobacterium faecium,0,13,0,0,3171,44,41,0,0,0,0,0,0,0,0,1282,0,755,1021,1,0,0,1,0
Phocaeicola coprophilus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Phocaeicola paurosaccharolyticus,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Phocaeicola sartorii,0,1,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Phocoenobacter uteri,0,1,2,0,0,1,5,0,0,0,6,0,2,0,0,0,0,0,0,1,0,0,0,0
Photobacterium aestuarii,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Photobacterium angustum,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Photobacterium aplysiae,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Phytobacter massiliensis,0,64,795,0,0,21,3,0,64,0,823,0,74,0,3,79,0,0,61,6,0,0,0,0
Phytobacter ursingii,0,3,28,0,0,0,0,0,17,0,31,0,30,0,2,1,0,0,4,1,0,0,0,0
Piscinibacter aquaticus,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Planococcus halocryophilus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plesiomonas shigelloides,0,2,16,0,0,3,9,0,5,0,5,0,8,0,0,0,0,0,2,1,0,0,0,0
Pluralibacter gergoviae,0,3,4,0,0,1,0,0,0,0,4,0,0,0,1,5,0,0,3,0,0,0,0,0
Pluralibacter pyrinus,0,1,68,0,0,3,1,0,5,0,30,0,20,0,0,1,0,0,7,0,0,0,0,0
Porphyromonas cangingivalis,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Porphyromonas crevioricanis,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porphyromonas endodontalis,0,3,0,0,0,6918,27,0,0,0,0,0,0,0,0,0,0,789,0,0,0,0,0,0
Porphyromonas gingivalis,0,51035,0,0,0,0,7489,0,0,0,0,0,0,0,5,1383,0,0,0,0,0,0,0,0
Porphyromonas gulae,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Porphyromonas loveana,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Propionivibrio dicarboxylicus,0,8,0,0,0,0,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Propionivibrio pelophilus,0,1,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteiniborus ethanoligenes,0,1,0,3,0,1,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Proteiniborus indolifex,0,4,0,2,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0
Proteocatella sphenisci,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
Proteus hauseri,0,1,16,0,0,1,0,0,16,0,13,0,24,0,0,0,0,0,7,0,0,0,0,0
Proteus myxofaciens,0,2,13,0,0,1,0,0,4,0,11,0,1,0,1,1,0,0,11,1,0,0,0,0
Providencia heimbachae,0,2,46,0,0,1,1,0,15,0,46,0,40,0,3,4,0,0,12,0,0,0,0,0
Providencia rettgeri,0,1,7,0,0,0,0,0,8,0,3,0,8,0,0,2,0,0,14,0,0,0,0,0
Pseudescherichia vulneris,0,6,61,0,1,3,1,0,13,0,99,0,12,0,1,11,0,0,10,3,1,0,0,0
Pseudidiomarina gelatinasegens,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudobacteroides cellulosolvens,0,11,0,0,32,3,18,0,0,0,0,0,0,0,20,224,0,0,0,0,0,0,0,0
Pseudobutyrivibrio ruminis,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudocitrobacter faecalis,0,2,18,0,0,0,0,0,0,0,9,0,3,0,1,5,0,0,37,0,0,0,0,0
Pseudoflavonifractor capillosus,0,466,0,0,198,123,60,0,0,0,0,0,0,0,0,42,0,0,8,0,0,0,0,0
Pseudoflavonifractor phocaeensis,0,308,0,0,361,222,693,0,0,0,0,0,0,0,0,90,0,6,32,0,0,0,0,0
Pseudogulbenkiania subflava,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas aeruginosa,0,358,0,0,0,0,0,0,0,262074,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas alcaligenes,0,3,0,0,0,0,0,1,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas extremaustralis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas guariconensis,0,1,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas hydrolytica,0,2,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas jilinensis,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas knackmussii,0,1,0,0,0,0,0,0,0,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas moorei,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas oryzihabitans,0,1,0,0,0,1,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas otitidis,0,2,0,0,0,0,0,0,0,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas peli,0,2,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas piscis,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas protegens,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas resinovorans,0,1,0,0,0,0,0,0,0,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas thermotolerans,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudoramibacter alactolyticus,0,82,0,1,1,0,13745,0,0,0,0,0,0,0,25,0,0,14,0,0,0,0,0,0
Ramlibacter solisilvae,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Raoultella terrigena,0,1,0,0,0,0,0,0,15,0,0,0,10,0,1,0,0,0,1,6,0,0,0,0
Raoultibacter timonensis,0,1,0,0,11,0,2,0,0,0,0,0,0,0,0,2,0,0,32,0,0,0,0,0
Rhabdanaerobium thermarum,0,68,0,0,825,2,24,0,0,0,0,0,0,0,9,95,0,1,2,0,0,0,0,0
Robinsoniella peoriensis,0,2,0,0,437,4,2,0,0,0,0,0,0,0,0,3,0,1,4,0,0,0,0,0
Romboutsia ilealis,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,30,1,0,0,0,0
Romboutsia sedimentorum,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
Romboutsia timonensis,0,43,0,0,287,22,14,0,0,0,0,0,0,0,2,263,10,659,44509,350,0,0,0,0
Roseburia hominis,0,17,0,0,1225,14,7,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,0
Roseburia intestinalis,0,5,0,0,217,4,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0
Ruminiclostridium cellobioparum,0,11,0,0,321,1,0,0,0,0,0,0,0,0,0,38,0,0,1,0,0,0,0,0
Ruminiclostridium cellulolyticum,0,8,0,0,212,0,1,0,0,0,0,0,0,0,2,17,0,0,0,0,0,0,0,0
Ruminiclostridium hungatei,0,6,0,0,36,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Ruminiclostridium sufflavum,0,3,0,0,29,0,3,0,0,0,0,0,0,0,2,24,0,0,0,0,0,0,0,0
Ruminococcus albus,0,1,0,0,1058,3,15,0,0,0,0,0,0,0,5,15,0,1,2,0,0,0,0,0
Ruminococcus bromii,0,1,0,0,10539,2,0,0,0,0,0,0,0,0,0,11,0,13,2,0,0,0,0,0
Ruminococcus champanellensis,0,29,0,0,5229,10,9,0,0,0,0,0,0,0,11,56,0,0,50,0,0,0,0,0
Ruminococcus gauvreauii,0,1,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ruthenibacterium lactatiformans,0,1016,0,0,1450,1545,210,0,0,0,0,0,0,0,148,73,0,69,182,0,0,0,0,0
Saccharofermentans acetigenes,0,31,0,0,502,1,26,0,0,0,0,0,0,0,2,188,0,0,1,0,0,0,0,0
Salimesophilobacter vulgaris,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salinicoccus salitudinis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3
Salinispirillum marinum,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Salmonella bongori,0,36,334,0,1,14,7,0,8,0,171,0,10,0,0,12,0,0,54,1,0,0,0,0
Salmonella enterica,0,21,1196,0,1,21,6,0,90,0,466,0,171,0,2,39,0,0,130,9,0,1,0,0
Schaalia cardiffensis,0,25,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0,0,0,1,0,0,0,0
Senegalia massiliensis,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
Serratia fonticola,0,1,12,0,0,0,0,0,10,0,9,0,18,0,0,1,0,0,0,0,0,0,0,0
Serratia liquefaciens,0,1,2,0,0,1,1,0,9,0,5,0,15,0,0,0,0,0,0,0,0,0,0,0
Serratia marcescens,0,6,264,0,0,10,2,0,84,0,198,0,200,0,3,11,0,0,9,6,0,0,0,0
Serratia odorifera,0,6,80,0,0,1,1,0,13,0,49,0,9,0,1,6,0,0,4,0,0,0,0,0
Serratia oryzae,0,2,13,0,0,1,1,0,1,0,20,0,0,0,0,1,0,0,1,0,0,0,0,0
Serratia plymuthica,0,2,11,0,0,1,9,0,29,0,5,0,50,0,1,2,0,0,8,4,1,0,0,0
Serratia rubidaea,0,1,26,0,0,2,1,0,2,0,16,0,2,0,1,1,0,0,0,0,0,0,0,0
Serratia surfactantfaciens,0,5,22,0,0,3,0,0,1,0,14,0,6,0,1,13,0,0,13,2,1,0,0,0
Serratia symbiotica,0,2,27,0,0,0,0,0,37,0,15,0,47,0,1,4,0,0,3,3,0,0,0,0
Serratia ureilytica,0,2,34,0,0,1,1,0,23,0,28,0,56,0,0,1,0,0,5,1,0,0,0,0
Shewanella baltica,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shewanella gelidii,0,1,21,0,0,0,0,0,1,0,4,0,1,0,0,1,0,0,2,0,0,0,0,0
Shewanella marina,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shigella boydii,0,522,5076,0,2,140,10,0,6,0,166,0,12,0,2,513,0,2,1792,32,0,0,0,0
Shigella dysenteriae,0,28,249,0,98,17,10,0,8,0,128,0,3,0,2,38,0,0,32,4,1,0,0,0
Shimwellia blattae,0,19,435,0,1,13,3,0,44,0,258,0,90,0,3,20,0,0,37,2,2,0,0,0
Siccibacter colletis,0,2,2,0,0,3,0,0,0,0,3,0,0,0,0,2,0,0,1,0,0,0,0,0
Siccibacter turicensis,0,6,17,0,0,1,3,0,4,0,30,0,2,0,1,5,0,0,6,1,0,0,0,0
Slackia exigua,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,14,0,2,0,0,0,0
Soehngenia saccharolytica,0,1,0,0,4,1,1,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0
Solidesulfovibrio magneticus,0,1,0,0,0,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Solobacterium moorei,0,856,0,0,0,5333,0,0,0,0,0,0,0,0,52,0,0,7861,0,2,0,0,0,0
Sporacetigenium mesophilum,0,24,0,0,2,11,3,0,0,0,0,0,0,0,0,7,5,8,18,2,0,0,0,0
Sporanaerobacter acetigenes,0,8,0,1,61,5,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0
Sporobacter termitidis,0,88,0,0,1006,6,173,0,0,0,0,0,0,0,0,47,0,0,15,0,0,0,0,0
Sporobacterium olearium,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sporosalibacterium faouarense,0,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sporosalibacterium tautonense,0,4,0,0,17,4,2,0,0,0,0,0,0,0,4,3,5,0,0,0,0,0,0,0
Sporosarcina limicola,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1
Sporosarcina ureae,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
Staphylococcus haemolyticus,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,399,439,425
Staphylococcus pseudintermedius,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Stigmatella erecta,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptobacillus moniliformis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus hyointestinalis,0,1,0,0,0,1,2,0,10,0,0,12,1,0,1,0,32,0,5,9,22,0,0,0
Streptococcus iniae,0,1,0,0,3,15,8,1,1,0,0,54,17,2,2,0,16,8,1,5,688,0,0,0
Streptococcus parasanguinis,0,4,0,0,24,5,3,4,4,0,0,67,152,2,7,6,30,135,3461,2307,173,0,0,0
Streptococcus uberis,0,7,0,0,0,26,1,0,22,0,0,5,4,0,0,0,947,3,0,16,18,0,0,0
Stutzerimonas azotifigens,0,1,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stutzerimonas chloritidismutans,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stutzerimonas stutzeri,0,2,0,0,0,0,0,1,0,833,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subdoligranulum variabile,0,1,0,0,44,1,1,0,0,0,0,0,0,0,0,4,0,0,22,0,0,0,0,0
Sutterella massiliensis,0,1,0,0,33,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Sutterella parvirubra,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
Sutterella stercoricanis,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sutterella wadsworthensis,0,225,0,0,8,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Syntrophococcus sucromutans,0,3,0,0,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tannerella forsythia,0,296,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tatumella punctata,0,2,24,0,0,0,0,0,50,0,6,0,115,0,0,1,0,0,7,0,0,0,0,0
Tatumella terrea,0,4,60,0,1,1,0,0,36,0,20,0,60,0,0,3,0,0,4,1,0,0,0,0
Tepidibacter mesophilus,0,18,0,0,0,11,1,0,0,0,0,0,0,0,3,22,9,18,18,20,0,0,0,0
Tepidibacter thalassicus,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Tepidibaculum saccharolyticum,0,2,0,0,39,3,3,0,0,0,0,0,0,0,2,6,0,0,5,0,0,0,0,0
Tepidicella xavieri,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
